Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0251027,2014-09-17,2014-09-17,,Ertem Egilmez,Kalbimin efendisi,1929-02-18
2,nm0000041,2014-09-17,2014-09-17,,Akira Kurosawa,Kakushi-toride no san-akunin,1910-03-23
3,nm0000033,2014-09-17,2014-09-17,,Alfred Hitchcock,Psycho,1899-08-13
4,nm0000005,2014-09-17,2014-09-17,,Ingmar Bergman,Smultronstället,1918-07-14
5,nm0000229,2014-09-17,2014-09-17,,Steven Spielberg,Schindler's List,1946-12-18
6,nm0000697,2014-09-17,2014-09-17,,Billy Wilder,The Apartment,1906-06-22
7,nm0634240,2014-09-17,2014-09-17,,Christopher Nolan,Dunkirk,1970-07-30
8,nm0000040,2014-09-17,2014-09-17,,Stanley Kubrick,2001: A Space Odyssey,1928-07-26
9,nm0000217,2014-09-17,2014-09-17,,Martin Scorsese,Taxi Driver,1942-11-17
10,nm0943758,2014-09-17,2014-09-17,,William Wyler,The Best Years of Our Lives,1902-07-01
11,nm0654868,2014-09-17,2014-09-17,,Yasujirô Ozu,Tôkyô monogatari,1903-12-12
12,nm0000122,2014-09-17,2014-09-17,,Charles Chaplin,The Great Dictator,1889-04-16
13,nm0000233,2014-09-17,2014-09-17,,Quentin Tarantino,Reservoir Dogs,1963-03-27
14,nm0594503,2014-09-17,2014-09-17,,Hayao Miyazaki,Sen to Chihiro no kamikakushi,1941-01-05
15,nm0000338,2014-09-17,2014-09-17,,Francis Ford Coppola,Apocalypse Now,1939-04-07
16,nm0711745,2014-09-17,2014-09-17,,Mani Ratnam,Kannathil Muthamittal,1955-06-02
17,nm0001392,2014-09-17,2014-09-17,,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,1961-10-31
18,nm0001466,2014-09-17,2014-09-17,,Sergio Leone,Once Upon a Time in America,1929-01-03
19,nm0000320,2014-09-17,2014-09-17,,Luis Buñuel,El ángel exterminador,1900-02-22
20,nm0000399,2014-09-17,2014-09-17,,David Fincher,Se7en,1962-08-28
21,nm0001328,2014-09-17,2014-09-17,,Howard Hawks,Red River,1896-05-30
22,nm0000485,2014-09-17,2014-09-17,,Fritz Lang,Le mépris,1890-12-05
23,nm0001486,2014-09-17,2014-09-17,,Sidney Lumet,12 Angry Men,1924-06-25
24,nm0001008,2014-09-17,2014-09-17,,Frank Capra,It's a Wonderful Life,1897-05-18
25,nm0462030,2014-09-17,2014-09-17,,Masaki Kobayashi,Ningen no jôken,1916-02-14
26,nm0002030,2014-09-17,2014-09-17,,George Cukor,My Fair Lady,1899-07-07
27,nm0000406,2014-09-17,2014-09-17,,John Ford,The Quiet Man,1894-02-01
28,nm0000180,2014-09-17,2014-09-17,,David Lean,Lawrence of Arabia,1908-03-25
29,nm0000419,2014-09-17,2014-09-17,,Jean-Luc Godard,Pierrot le fou,1930-12-03
30,nm0001789,2014-09-17,2014-09-17,,Andrei Tarkovsky,Solyaris,1932-04-04
31,nm0001415,2014-09-17,2014-09-17,,Elia Kazan,On the Waterfront,1909-09-07
32,nm0000095,2014-09-17,2014-09-17,,Woody Allen,Manhattan,1935-12-01
33,nm0000036,2014-09-17,2014-09-17,,Buster Keaton,The General,1895-10-04
34,nm0000019,2014-09-17,2014-09-17,,Federico Fellini,Amarcord,1920-01-20
35,nm0006249,2014-09-17,2014-09-17,,Satyajit Ray,Pather Panchali,1921-05-02
36,nm0301145,2014-09-17,2014-09-17,,Leonid Gaidai,Brilliantovaya ruka,1923-01-30
37,nm0002031,2014-09-17,2014-09-17,,Michael Curtiz,Casablanca,1886-12-24
38,nm0000142,2014-09-17,2014-09-17,,Clint Eastwood,Million Dollar Baby,1930-05-31
39,nm0611531,2014-09-17,2014-09-17,,Hrishikesh Mukherjee,Anand,1922-09-30
40,nm0001379,2014-09-17,2014-09-17,,John Huston,The Treasure of the Sierra Madre,1906-08-05
41,nm0503777,2014-09-17,2014-09-17,,Mervyn LeRoy,Gypsy,1900-10-15
42,nm0752922,2014-09-17,2014-09-17,,Eldar Ryazanov,Nebesa obetovannye,1927-11-18
43,nm0598102,2014-10-14,2014-10-14,,Mario Monicelli,I compagni,1915-05-16
44,nm0896542,2014-09-17,2014-09-17,,King Vidor,Hallelujah,1894-02-08
45,nm0001053,2014-09-17,2014-09-17,,Ethan Coen,The Ballad of Buster Scruggs,1957-09-21
46,nm0797672,2014-10-14,2014-10-14,,Slobodan Sijan,Ko to tamo peva,1946-11-16
47,nm0523932,2014-09-17,2014-09-17,,Ernst Lubitsch,To Be or Not to Be,1892-01-29
48,nm0000631,2014-09-17,2014-09-17,,Ridley Scott,The Martian,1937-11-30
49,nm0939992,2014-09-17,2014-09-17,,Sam Wood,Ivy,1883-07-10
50,nm0899581,2014-09-17,2014-09-17,,Luchino Visconti,Rocco e i suoi fratelli,1906-11-02
51,nm0955443,2014-09-17,2014-09-17,,Yimou Zhang,Shi mian mai fu,1951-11-14
52,nm0003226,2014-09-17,2014-09-17,,Kenji Mizoguchi,Ugetsu monogatari,1898-05-16
53,nm0001104,2014-09-17,2014-09-17,,Frank Darabont,The Green Mile,1959-01-28
54,nm0000500,2014-09-17,2014-09-17,,Richard Linklater,Waking Life,1960-07-30
55,nm0000709,2014-09-17,2014-09-17,,Robert Zemeckis,Back to the Future,1951-05-14
56,nm0001437,2014-09-17,2014-09-17,,Emir Kusturica,Underground,1954-11-24
57,nm0000080,2014-09-17,2014-09-17,,Orson Welles,Citizen Kane,1915-05-06
58,nm0909825,2014-09-17,2014-09-17,,Raoul Walsh,Sadie Thompson,1887-03-11
59,nm0000591,2014-09-17,2014-09-17,,Roman Polanski,Chinatown,1933-08-18
60,nm0440604,2014-09-17,2014-09-17,,Anurag Kashyap,Gangs of Wasseypur,1972-09-10
61,nm0578483,2014-09-17,2014-09-17,,Jean-Pierre Melville,À bout de souffle,1917-10-20
62,nm0000116,2014-09-17,2014-09-17,,James Cameron,Avatar,1954-08-16
63,nm0000076,2014-09-17,2014-09-17,,François Truffaut,La nuit américaine,1932-02-06
64,nm0001232,2014-09-17,2014-09-17,,Milos Forman,One Flew Over the Cuckoo's Nest,1932-02-18
65,nm0003836,2014-09-17,2014-09-17,,Michael Powell,A Matter of Life and Death,1905-09-30
66,nm0199381,2014-09-17,2014-09-17,,Georgiy Daneliya,Kin-dza-dza!,1930-08-25
67,nm0080235,2014-10-14,2014-10-14,,Vishal Bhardwaj,Haider,
68,nm0001120,2014-09-17,2014-09-17,,Vittorio De Sica,Ladri di biciclette,1901-07-07
69,nm0947998,2014-09-17,2014-09-17,,Atif Yilmaz,Bir Yudum Sevgi,1925-12-09
70,nm0000581,2014-09-17,2014-09-17,,Joseph L. Mankiewicz,All About Eve,1909-02-11
71,nm0006703,2014-09-17,2014-09-17,,Zeki Ökten,Sürü,1941-08-04
72,nm0920074,2014-09-17,2014-09-17,,William A. Wellman,A Star Is Born,1896-02-29
73,nm0003638,2014-09-17,2014-09-17,,F.W. Murnau,Sunrise: A Song of Two Humans,1888-12-28
74,nm1410815,2014-09-17,2014-09-17,,Asghar Farhadi,Darbareye Elly,1972-05-07
75,nm0828419,2014-10-14,2014-10-14,,George Stevens,Giant,1904-12-18
76,nm0868153,2014-09-17,2014-09-17,,Giuseppe Tornatore,La migliore offerta,1956-05-27
77,nm0719756,2014-09-17,2014-09-17,,Jean Renoir,La grande illusion,1894-09-15
78,nm0564970,2014-09-17,2014-09-17,,Leo McCarey,An Affair to Remember,1896-10-03
79,nm0877078,2014-09-17,2014-09-17,,Yavuz Turgul,Eskiya,1946-04-05
